geographyFk,houseMedianPrice,listingCount,geography,families,reliability,monthlyIncome,monthlyExpenses,netIncome,capacityToPayPagibig,capacityToPayBank,pagIbigRequiredLoan,pagIbigAmmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmmortization,bankCapacity,bankGap,bankLoanStatus
175200000,6169000.00,1,oriental mindoro,219,High,22198,16525,5673,7769.30,6659.40,5552100,32400.55,7769.30,24631.25,Not Applicable,4935200,38262.55,6659.40,31603.15,Not Applicable
166700000,4168000.00,1,surigao del norte,136,Moderate,27808,17414,10394,9732.80,8342.40,3751200,21890.98,9732.80,12158.18,Not Applicable,3334400,25851.57,8342.40,17509.17,Not Applicable
013300000,1316000.00,1,la union,207,High,32777,21613,11164,11471.95,9833.10,1184400,6911.84,11471.95,-4560.11,Applicable,1052800,8162.35,9833.10,-1670.75,Applicable
056216000,168019000.00,2,sorsogon,188,Moderate,19962,16959,3003,6986.70,5988.60,151217100,882461.95,6986.70,875475.25,Not Applicable,134415200,1042119.61,5988.60,1036131.01,Not Applicable
083747000,3241000.00,2,tacloban,58,Low,34503,24793,9710,12076.05,10350.90,2916900,17022.24,12076.05,4946.19,Not Applicable,2592800,20101.95,10350.90,9751.05,Not Applicable
099701000,2134000.00,31,isabela,427,High,24955,16852,8103,8734.25,7486.50,1920600,11208.10,8734.25,2473.85,Not Applicable,1707200,13235.90,7486.50,5749.40,Not Applicable
137404000,2210000.00,997,quezon,747,High,40058,32678,7380,14020.30,12017.40,1989000,11607.26,14020.30,-2413.04,Applicable,1768000,13707.29,12017.40,1689.89,Not Applicable
063022000,1304700.00,585,iloilo,532,High,26443,17881,8562,9255.05,7932.90,1174230,6852.49,9255.05,-2402.56,Applicable,1043760,8092.26,7932.90,159.36,Not Applicable
072217000,2856000.00,662,cebu,849,High,24448,16151,8297,8556.80,7334.40,2570400,15000.16,8556.80,6443.36,Not Applicable,2284800,17714.03,7334.40,10379.63,Not Applicable
129804000,3884000.00,5,cotabato,347,High,25711,17735,7976,8998.85,7713.30,3495600,20399.37,8998.85,11400.52,Not Applicable,3107200,24090.09,7713.30,16376.79,Not Applicable
