,id,geographyFk_city,geographyFk_province,title,price,pricePerSqm,floorArea,lotArea,propertyCategory
163,623153f5-2228-4786-9129-89febed96db0,,45800000,Vacant Lot,329000.0,7000.0,,47.0,Vacant Lot
164,6fa676fe-437c-4343-a638-228e4aca9d3b,43403000,43400000,With Improvement-Bundle,1771176.97,7001.0,,253.0,Lot with Improvement
165,6a2e241f-e0d8-45cf-9018-f836aba575cc,,45800000,Vacant Lot,280000.0,7000.0,,40.0,Vacant Lot
166,5e990913-1b85-493b-89ca-bdcec3e251f9,42119000,42100000,Vacant Lot,698000000.0,3500.0,,199415.0,Vacant Lot
167,3568b330-49b7-4b8c-a634-79e504370059,45802000,45800000,Vacant Lot,11710000.0,6800.0,,1722.0,Vacant Lot
168,e436d86f-030f-4acf-ba17-5cb1162973a8,,43400000,Vacant Lot,2112000.0,11000.0,,192.0,Vacant Lot
169,2ed99b1f-d515-4b55-aab9-ee4f1b969427,112402000,112400000,Vacant Lot,882000.0,2800.0,,315.0,Vacant Lot
170,8fa809ee-067b-428c-9cca-33e184d1caaf,133900000,130000000,With Improvement-Bundle,9555791.41,73001.0,,130.9,Lot with Improvement
171,29c6256b-9828-48f9-9c7c-f3a57ec911f0,45624000,45600000,With Improvement-Bundle,979226.1,5100.0,,192.0,Lot with Improvement
172,ffee9d28-e273-44ed-8aab-3e0b2459c6eb,133900000,130000000,With Improvement-Bundle,600147.18,12003.0,,50.0,Lot with Improvement
173,c592dacc-f12b-4faa-9218-726708a67e6f,72217000,72200000,Condominium,3651000.0,121014.0,30.17,,Condominium
174,41d69841-d6ca-4977-a860-d9550993c7cd,72217000,72200000,Condominium,3775000.0,118006.0,31.99,,Condominium
175,c8156832-15af-47cd-9ae2-7a6e9bc39600,72250000,72200000,Vacant Lot,5980000.0,20000.0,,299.0,Vacant Lot
176,593aa647-1989-4c20-b0d5-c2cad5a46109,72250000,72200000,Vacant Lot,5980000.0,20000.0,,299.0,Vacant Lot
