,geographyFk,capacityToPayPagibig,capacityToPayBank,houseMedianPrice,listingCount,pagIbigRequiredLoan,pagIbigAmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmortization,bankCapacity,bankGap,bankLoanStatus
79,72217000.0,8556.8,7334.4,3150000.0,548,3397500.0,19826.89,8556.8,-11270.09,Not Applicable,3020000.0,23414.03,7334.4,-16079.63,Not Applicable
80,72217000.0,11269.65,9659.7,3150000.0,548,3397500.0,19826.89,11269.65,-8557.24,Not Applicable,3020000.0,23414.03,9659.7,-13754.33,Not Applicable
81,112402000.0,12043.15,10322.7,2163000.0,233,2936700.0,17137.78,12043.15,-5094.63,Not Applicable,2610400.0,20238.4,10322.7,-9915.7,Not Applicable
82,63022000.0,9255.05,7932.9,2500000.0,194,972000.0,5672.33,9255.05,3582.72,Applicable,864000.0,6698.58,7932.9,1234.32,Applicable
83,63022000.0,13962.9,11968.2,2500000.0,194,972000.0,5672.33,13962.9,8290.57,Applicable,864000.0,6698.58,11968.2,5269.62,Applicable
84,64501000.0,10708.95,9179.1,1146800.0,332,8445600.0,49286.23,10708.95,-38577.28,Not Applicable,7507200.0,58203.24,9179.1,-49024.14,Not Applicable
85,72217000.0,8556.8,7334.4,3150000.0,548,6109897.347,35655.7,8556.8,-27098.9,Not Applicable,5431019.864,42106.64,7334.4,-34772.24,Not Applicable
86,72217000.0,11269.65,9659.7,3150000.0,548,6109897.347,35655.7,11269.65,-24386.05,Not Applicable,5431019.864,42106.64,9659.7,-32446.94,Not Applicable
87,72226000.0,12490.45,10706.1,1772100.0,143,1524600.0,8897.15,12490.45,3593.3,Applicable,1355200.0,10506.85,10706.1,199.25,Applicable
88,72226000.0,12490.45,10706.1,1772100.0,143,1493100.0,8713.33,12490.45,3777.12,Applicable,1327200.0,10289.77,10706.1,416.33,Applicable
89,133900000.0,14081.55,12069.9,4013370.0,781,7484400.0,43676.93,14081.55,-29595.38,Not Applicable,6652800.0,51579.09,12069.9,-39509.19,Not Applicable
90,133900000.0,14081.55,12069.9,4013370.0,781,945000.0,5514.76,14081.55,8566.79,Applicable,840000.0,6512.51,12069.9,5557.39,Applicable
91,133900000.0,14081.55,12069.9,4013370.0,781,9030600.0,52700.13,14081.55,-38618.58,Not Applicable,8027200.0,62234.8,12069.9,-50164.9,Not Applicable
92,72226000.0,12490.45,10706.1,1772100.0,143,790200.0,4611.39,12490.45,7879.06,Applicable,702400.0,5445.7,10706.1,5260.4,Applicable
93,72226000.0,12490.45,10706.1,1772100.0,143,790200.0,4611.39,12490.45,7879.06,Applicable,702400.0,5445.7,10706.1,5260.4,Applicable
94,63022000.0,9255.05,7932.9,2500000.0,194,462993996.6,2701907.29,9255.05,-2692652.24,Not Applicable,411550219.20000005,3190744.47,7932.9,-3182811.57,Not Applicable
95,63022000.0,13962.9,11968.2,2500000.0,194,462993996.6,2701907.29,13962.9,-2687944.39,Not Applicable,411550219.20000005,3190744.47,11968.2,-3178776.27,Not Applicable
96,133900000.0,14081.55,12069.9,4013370.0,781,7857000.0,45851.32,14081.55,-31769.77,Not Applicable,6984000.0,54146.88,12069.9,-42076.98,Not Applicable
97,133900000.0,14081.55,12069.9,4013370.0,781,3981600.0,23235.54,14081.55,-9153.99,Not Applicable,3539200.0,27439.38,12069.9,-15369.48,Not Applicable
98,133900000.0,14081.55,12069.9,4013370.0,781,3931200.0,22941.42,14081.55,-8859.87,Not Applicable,3494400.0,27092.05,12069.9,-15022.15,Not Applicable
99,133900000.0,14081.55,12069.9,4013370.0,781,3313800.0,19338.44,14081.55,-5256.89,Not Applicable,2945600.0,22837.21,12069.9,-10767.31,Not Applicable
100,133900000.0,14081.55,12069.9,4013370.0,781,2421000.0,14128.3,14081.55,-46.75,Not Applicable,2152000.0,16684.43,12069.9,-4614.53,Not Applicable
101,133900000.0,14081.55,12069.9,4013370.0,781,705600.0,4117.69,14081.55,9963.86,Applicable,627200.0,4862.67,12069.9,7207.23,Applicable
102,133900000.0,14081.55,12069.9,4013370.0,781,3099600.0,18088.42,14081.55,-4006.87,Not Applicable,2755200.0,21361.04,12069.9,-9291.14,Not Applicable
103,133900000.0,14081.55,12069.9,4013370.0,781,514800.0,3004.23,14081.55,11077.32,Applicable,457600.0,3547.77,12069.9,8522.13,Applicable
104,133900000.0,14081.55,12069.9,4013370.0,781,514800.0,3004.23,14081.55,11077.32,Applicable,457600.0,3547.77,12069.9,8522.13,Applicable
105,133900000.0,14081.55,12069.9,4013370.0,781,705600.0,4117.69,14081.55,9963.86,Applicable,627200.0,4862.67,12069.9,7207.23,Applicable
106,133900000.0,14081.55,12069.9,4013370.0,781,514800.0,3004.23,14081.55,11077.32,Applicable,457600.0,3547.77,12069.9,8522.13,Applicable
107,133900000.0,14081.55,12069.9,4013370.0,781,516600.0,3014.74,14081.55,11066.81,Applicable,459200.0,3560.17,12069.9,8509.73,Applicable
108,133900000.0,14081.55,12069.9,4013370.0,781,772200.0,4506.35,14081.55,9575.2,Applicable,686400.0,5321.65,12069.9,6748.25,Applicable
109,133900000.0,14081.55,12069.9,4013370.0,781,514800.0,3004.23,14081.55,11077.32,Applicable,457600.0,3547.77,12069.9,8522.13,Applicable
110,133900000.0,14081.55,12069.9,4013370.0,781,705600.0,4117.69,14081.55,9963.86,Applicable,627200.0,4862.67,12069.9,7207.23,Applicable
111,133900000.0,14081.55,12069.9,4013370.0,781,514800.0,3004.23,14081.55,11077.32,Applicable,457600.0,3547.77,12069.9,8522.13,Applicable
112,133900000.0,14081.55,12069.9,4013370.0,781,514800.0,3004.23,14081.55,11077.32,Applicable,457600.0,3547.77,12069.9,8522.13,Applicable
113,133900000.0,14081.55,12069.9,4013370.0,781,514800.0,3004.23,14081.55,11077.32,Applicable,457600.0,3547.77,12069.9,8522.13,Applicable
114,133900000.0,14081.55,12069.9,4013370.0,781,514800.0,3004.23,14081.55,11077.32,Applicable,457600.0,3547.77,12069.9,8522.13,Applicable
115,133900000.0,14081.55,12069.9,4013370.0,781,772200.0,4506.35,14081.55,9575.2,Applicable,686400.0,5321.65,12069.9,6748.25,Applicable
